💞央视💞,#genre#
//fy
CCTV-1综合,http://bt.fjl626.top:35455/bptv/10000100000000050000000003864351.m3u8
CCTV-2财经,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870745.m3u8
CCTV-3综艺,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870746.m3u8
CCTV-4中文国际,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870747.m3u8
CCTV-5体育,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870748.m3u8
CCTV-6电影,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870749.m3u8
CCTV-7国防军事,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870750.m3u8
CCTV-8电视剧,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870838.m3u8
CCTV-9纪录,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870752.m3u8
CCTV-10科教,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870753.m3u8
CCTV-11戏曲,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870754.m3u8
CCTV-12社会与法,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870755.m3u8
CCTV-13新闻,http://bt.fjl626.top:35455/bptv/10000100000000050000000004796248.m3u8
CCTV-14少儿,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870756.m3u8
CCTV-15音乐,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870757.m3u8
CCTV-16奥林匹克,http://bt.fjl626.top:35455/bptv/10000100000000050000000004972604.m3u8
CCTV-17农业农村,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870758.m3u8
CCTV-5⁺体育赛事,http://bt.fjl626.top:35455/bptv/10000100000000050000000003870759.m3u8
CCTV-4中文国际美洲,http://bt.fjl626.top:6886/meng.php?id=cctv4a
CCTV-4中文国际欧洲,http://bt.fjl626.top:6886/meng.php?id=cctv4o
CETV-早期教育,http://101.17.31.31:6666/rtp/239.253.92.39:6107
CETV-中国教育1,http://124.205.11.205:91/live/CETV1hd-8M/live.m3u8
CETV-中国教育2,http://124.205.11.205:91/live/CETV2-1500k/live.m3u8
CETV-中国教育3,http://124.205.11.205:91/live/CETV3-1500k/live.m3u8
CETV-中国教育4,http://124.205.11.205:91/live/CETV4-1500k/live.m3u8
CEC-国际汉语,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8
CEC-国际旅游,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
CEC-国际教育,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
CEC-国际健康,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8
CGTN-纪录,https://0472.org/hls/cgtnd.m3u8
CGTN-新闻,https://0472.org/hls/cgtn.m3u8
CGTN-俄语,https://0472.org/hls/cgtne.m3u8
CGTN-法语,https://0472.org/hls/cgtnf.m3u8
CGTN-西班牙语,https://0472.org/hls/cgtnx.m3u8
CGTN-阿拉伯语,https://0472.org/hls/cgtna.m3u8
CCTV-第一剧场,http://dassby.qqff.top:99/live/第一剧场/index.m3u8
CCTV-风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
CCTV-怀旧剧场,http://dassby.qqff.top:99/live/怀旧剧场/index.m3u8
CCTV-风云音乐,http://dassby.qqff.top:99/live/风云音乐/index.m3u8
CCTV-风云足球,http://dassby.qqff.top:99/live/风云足球/index.m3u8
CCTV-世界地理,http://dassby.qqff.top:99/live/世界地理/index.m3u8
CCTV-兵器科技,http://dassby.qqff.top:99/live/兵器科技/index.m3u8
CCTV-女性时尚,http://dassby.qqff.top:99/live/女性时尚/index.m3u8
